Movie Name,Release Date,Genre
Adventureland,2009,Comedy
Ali G Indahouse,2002,Comedy
Alice's Restaurant,1969,Comedy
Animal House,1978,Comedy
Annie Hall,1977,Comedy
"Banger Sisters, The",2002,Comedy
Beerfest,2006,Comedy
"Big Lebowski, The",1998,Comedy
Black Sheep,1996,Comedy
Blazing Saddles,1974,Comedy
Bob & Carol & Ted & Alice,1969,Comedy
Bongwater,1997,Comedy
Bottleshock,2008,Comedy
"Boys & Girls Guide to Getting Down, The",2006,Comedy
"Breakfast Club, The",1985,Comedy
Broken Flowers,2005,Comedy
Caddyshack,1980,Comedy
Cheech & Chong's Next Movie,1980,Comedy
Cheech & Chong's The Corscian Brothers,1984,Comedy
Class Reunion,1982,Comedy
Clerks,1994,Comedy
Club Dread,2004,Comedy
Club Paradise,1986,Comedy
Clueless,1995,Comedy
Dazed & Confused,1993,Comedy
Deconstructing Harry,1997,Comedy
Detroit Rock City,1999,Comedy
Deuce Bigalow: European Gigolo,2005,Comedy
Doctor Detroit,1983,Comedy
Dogma,1999,Comedy
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,Comedy
Down & Out with the Dolls,2002,Comedy
Drive Me Crazy,1999,Comedy
Duck Season,2004,Comedy
"Dude, Where's My Car?",2000,Comedy
Everything's Gone Green,2007,Comedy
Extract,2009,Comedy
The Family Stone,2005,Comedy
Fandango,1985,Comedy
Far Out Man,1990,Comedy
Fast Times at Ridgemont High,1982,Comedy
Feeling Minnesota,1996,Comedy
"40-Year-Old Virgin, The",2005,Comedy
Four Rooms,1995,Comedy
Friday,1995,Comedy
Friday After Next,2002,Comedy
Friends with Money,2006,Comedy
Garage Days,2003,Comedy
Garden State,2004,Comedy
Get Out of My Room,1985,Comedy
Good Luck,1996,Comedy
Grandma's Boy,2006,Comedy
Grosse Point Blank,1997,Comedy
Half Baked,1998,Comedy
Harold & Kumar Go to White Castle,2004,Comedy
Harold & Kumar Escape from Guantanamo Bay,2008,Comedy
Head Office,1985,Comedy
High Society: A Pot Boiler,2009,Comedy
High Times' Pot Luck,2002,Comedy
History of the World: Part I,1981,Comedy
How High,2001,Comedy
Igby Goes Down,2002,Comedy
"I Love You, Alice B. Toklas!",1968,Comedy
I'm Not Rappaport,1996,Comedy
In the Soup,1992,Comedy
It Runs in the Family,2003,Comedy
Jay & Silent Bob Strike Back,2001,Comedy
"Kentucky Fried Movie, The",1977,Comedy
Kicked in the Head,1997,Comedy
Kingpin,1996,Comedy
Knocked Up,2007,Comedy
"Last Detail, The",1973,Comedy
Last of the Red Hot Lovers,1972,Comedy
Last Resort,1986,Comedy
"Life Aquatic with Steve Zissou, The",2004,Comedy
Mallrats,1995,Comedy
Martin & Orloff,2002,Comedy
M.A.S.H.,1970,Comedy
Meet Bill,2007,Comedy
Meet the Parents,2000,Comedy
"Men Who Stare at Goats, The",2009,Comedy
Myra Breckinridge,1970,Comedy
Naked in New York,1993,Comedy
National Lampoon's Senior Trip,1995,Comedy
National Lampoon's Stoned Age,2007,Comedy
National Lampoon's Vaction,1983,Comedy
Next Friday,2007,Comedy
Nice Dreams,1981,Comedy
Night Patrol,1984,Comedy
Nine to Five,1980,Comedy
Numb,2007,Comedy
Outside Providence,1999,Comedy
"Owl & the Pussycat, The",1970,Comedy
Party Girl,1995,Comedy
PCU,1994,Comedy
Peggy Sue Got Married,1986,Comedy
Pick-Up Summer,1980,Comedy
Pieces of April,2003,Comedy
Pineapple Express,2008,Comedy
Pretty in Pink,1986,Comedy
"Prince of Pennsylvania, The",1988,Comedy
Private Benjamin,1980,Comedy
"Puff, Puff, Pass",2006,Comedy
Putney Swope,1969,Comedy
Rancho Deluxe,1975,Comedy
Reality Bites,1994,Comedy
Rember the Daze,2007,Comedy
Reno 911: Miami,2007,Comedy
Revenge of the Nerds,1984,Comedy
Revenge of the Nerds II: Nerds in Paradise,1987,Comedy
Risky Business,1983,Comedy
Road Trip,2000,Comedy
Rock Opera,1999,Comedy
Rolling Kansas,2003,Comedy
"Royal Tenenbaums, The",2001,Comedy
Rude Awakening,1989,Comedy
Saving Grace,2000,Comedy
Scary Movie,2000,Comedy
Scary Movie 2,2001,Comedy
S.F.W.,1994,Comedy
Shampoo,1975,Comedy
Slackers,2002,Comedy
SLC Punk,1998,Comedy
Slums of Beverly Hills,1998,Comedy
Smiley Face,2007,Comedy
Soul Plane,2004,Comedy
Spanking the Monkey,1994,Comedy
"Spirit of '76, The",1990,Comedy
Still Smokin,1983,Comedy
Stir Crazy,1980,Comedy
"Stoned Age, The",1994,Comedy
Strange Wilderness,2008,Comedy
Superbad,2007,Comedy
Super Troopers,2001,Comedy
"Surfer, Dude",2008,Comedy
"Tao of Steve, The",2000,Comedy
Teen Wolf,1985,Comedy
Tenacious D in the Pick of Destiny,2006,Comedy
Thank God It's Friday,1978,Comedy
There's Something About Mary,1998,Comedy
Things Are Tough All Over,1982,Comedy
Tommy Boy,1995,Comedy
Totally Baked: A Pot-U-Mentary,2007,Comedy
Trailer Park Boys: The Movie,2006,Comedy
Undercover Brother,2002,Comedy
Up in Smoke,1978,Comedy
Van Wilder,2002,Comedy
Very Bad Things,1998,Comedy
Waiting…,2005,Comedy
Walk Hard: The Dewey Cox Story,2007,Comedy
"War on the War on Drugs, The",2002,Comedy
"Wash, The",2001,Comedy
Weirdville,2007,Comedy
Welcome to the Dollhouse,1995,Comedy
Wet Hot American Summer,2001,Comedy
When Do We Eat?,2005,Comedy
Where the Buffalo Roam,1980,Comedy
Whiteboyz,1999,Comedy
Withnail & I,1987,Comedy
Without a Paddle,2004,Comedy
Young Doctors in Love,1982,Comedy
Zapped,1982,Comedy
"Acid House, The",1998,Drama
All That Jazz,1979,Drama
Alpha Dog,2006,Drama
Altered States,1980,Drama
American Beauty,1999,Drama
Amongst Friends,1993,Drama
Apocalypse Now,1979,Drama
Assisted Living,2003,Drama
"Basketball Diaries, The",1995,Drama
"Beach, The",2000,Drama
Beautiful Creatures,2000,Drama
Beyond the Valley of the Dolls,1970,Drama
"Big Chill, The",1983,Drama
Black Snake Moan,2006,Drama
Blow,2001,Drama
Blow-Up,1966,Drama
Boogie Nights,1977,Drama
Born on the Fourth of July,1989,Drama
Boys Don't Cry,1999,Drama
Boyz N the Hood,1991,Drama
Breakfast on Pluto,2005,Drama
Brick,2005,Drama
Brokedown Palace,1999,Drama
Brooklyn Babylon,2001,Drama
Bully,2001,Drama
Cash Crop,1998,Drama
Chappaqua,1966,Drama
Chrystal,2004,Drama
Cisco Pike,1972,Drama
Colors,1988,Drama
Coming Home,1978,Drama
Cooley High,1975,Drama
Countryman,1982,Drama
Dealing: Or the Berkeley-to-Boston Forty-Brick Lost-Bag Blues,1972,Drama
"Doors, The",1991,Drama
Down in the Valley,2005,Drama
"Dreamers, The",2003,Drama
Easy Rider,1969,Drama
8 Mile,2002,Drama
"Event, The",2003,Drama
Eyes Wide Shut,1999,Drama
Facory Girl,2006,Drama
Fame,1980,Drama
Fear & Loathing in Las Vegas,1998,Drama
Feel the Noise,2007,Drama
Fresh Cut Grass,2004,Drama
Graden Party,2008,Drama
"Gene Krupa Story, The",1959,Drama
Go,1999,Drama
"Good Girl, The",2002,Drama
Gridlock'd,1997,Drama
Groove,2000,Drama
"Harder They Come, The",1972,Drama
Harvard Man,2001,Drama
Haven,2004,Drama
Havoc,2005,Drama
Heart Beat,1980,Drama
Higher Learning,1995,Drama
High School Confidential,1958,Drama
"Holy Land, The",2003,Drama
Holy Smoke,1999,Drama
"Home at the End of the World, A",2004,Drama
Homegrown,1998,Drama
Humboldt County,2008,Drama
Hurlyburly,1998,Drama
Hustle & Flow,2005,Drama
"Ice Storm, The",1997,Drama
"Indian Runner, The",1991,Drama
In Too Deep,1999,Drama
Jacob's Ladder,1990,Drama
Joe,1970,Drama
Juice,1992,Drama
Keys to Tulsa,1997,Drama
Kids,1995,Drama
Kush,2007,Drama
La Bamba,1987,Drama
L.A. Confidential,1997,Drama
Laurel Canyon,2002,Drama
Lenny,1974,Drama
Looking for Mr. Goodbar,1977,Drama
Love & a .45,1994,Drama
Maryjane,1968,Drama
McCabe & Mrs. Miller,1971,Drama
Menace II Society,1993,Drama
Me Without You,2001,Drama
Midnight Cowboy,1969,Drama
Milk,2008,Drama
"Moneytree, The",1992,Drama
North Dallas Forty,1979,Drama
Notorious,2009,Drama
Over the Edge,1979,Drama
"Panic in Needle Park, The",1971,Drama
Performance,1970,Drama
Platoon,1986,Drama
Poetic Justice,1993,Drama
Postcards from the Edge,1990,Drama
Psych-Out,1968,Drama
Pusher,1996,Drama
Pusher II,2004,Drama
Pusher III,2005,Drama
Ray,2004,Drama
Reefer Madness,1936,Drama
Requiem for a Dream,2000,Drama
Return to Paradise,1998,Drama
River's Edge,1986,Drama
Rockers,1978,Drama
"Rose, The",1979,Drama
"Rules of Attraction, The",2002,Drama
Rush,1991,Drama
Salvador,1986,Drama
Serpico,1973,Drama
Short Cuts,1993,Drama
Shrink,2009,Drama
Silkwood,1983,Drama
"Station Agent, The",2003,Drama
Stealing Beauty,1996,Drama
Stepmom,1998,Drama
Sweet Bird of Youth,1962,Drama
Taking Woodstock,2009,Drama
